api,hsm_capacity,num_signatures,kmip_batch_count,time,threaded
kmip,5000,1000,10,1.5900235009903554,True
rest,5000,1000,,3.8089873649878427,True
kmip,10000,1000,1,6.422798437997699,True
grpc,5000,1000,,0.7212806320167147,True
kmip,10000,1000,100,1.4876540979894344,True
grpc,20000,1000,,0.5391315860033501,True
rest,20000,1000,,3.703456699993694,True
kmip,20000,1000,100,1.3638919130025897,True
kmip,1000,1000,100,2.199958041019272,True
rest,10000,1000,,3.743664831010392,True
kmip,100,1000,10,10.435815403994638,True
grpc,10000,1000,,0.6367230789910536,True
kmip,20000,1000,10,1.5711383730231319,True
grpc,100,1000,,10.480560428026365,True
kmip,20000,1000,1,5.994247691996861,True
kmip,100,1000,100,10.696331465005642,True
kmip,5000,1000,100,1.4659907720051706,True
rest,1000,1000,,3.7717729690193664,True
kmip,5000,1000,1,6.4052598620182835,True
kmip,100,1000,1,12.837598464015173,True
kmip,1000,1000,10,2.1790841440088116,True
rest,5000,1000,,3.7729230819968507,True
grpc,1000,1000,,1.5431688630196732,True
kmip,10000,1000,10,1.567739944002824,True
kmip,1000,1000,1,6.074616852973122,True
grpc,5000,1000,,0.7079094469954725,True
rest,100,1000,,10.952216709003551,True
kmip,10000,1000,1,6.3281459330173675,True
kmip,5000,1000,10,1.544868385011796,True
grpc,1000,1000,,1.6087890109920409,True
rest,10000,1000,,3.502075535012409,True
kmip,1000,1000,10,2.1534790419973433,True
rest,5000,1000,,3.7754990039975382,True
rest,100,1000,,10.944754355004989,True
kmip,20000,1000,10,1.505202892003581,True
kmip,100,1000,1,12.785230102017522,True
kmip,5000,1000,10,1.6052412439894397,True
kmip,5000,1000,1,5.987218206981197,True
grpc,20000,1000,,0.5292387539811898,True
kmip,1000,1000,100,2.322908069996629,True
grpc,10000,1000,,0.5897544309846126,True
kmip,20000,1000,100,1.4923322389950044,True
kmip,1000,1000,1,6.003940722992411,True
rest,20000,1000,,3.6385479400050826,True
kmip,10000,1000,10,1.5538951880007517,True
grpc,100,1000,,10.487794593005674,True
kmip,100,1000,100,10.853845261997776,True
kmip,100,1000,10,10.420870859001298,True
kmip,10000,1000,100,1.4988338819821365,True
kmip,5000,1000,100,1.6663994370028377,True
grpc,5000,1000,,0.7145438010047656,True
rest,1000,1000,,3.884669930994278,True
kmip,20000,1000,1,6.101155298994854,True
kmip,10000,1000,1,6.403366945014568,True
kmip,1000,1000,1,6.650439949997235,True
rest,1000,1000,,4.3509279809950385,True
grpc,20000,1000,,0.545647535007447,True
rest,10000,1000,,3.6753632399777416,True
kmip,10000,1000,100,1.4400188269792125,True
kmip,10000,1000,1,5.887299667985644,True
kmip,100,1000,10,10.416621006006608,True
kmip,1000,1000,10,2.217735577985877,True
kmip,10000,1000,10,1.550669522024691,True
kmip,1000,1000,100,2.393341465998674,True
grpc,1000,1000,,1.5996090580010787,True
kmip,5000,1000,10,1.547274931013817,True
grpc,10000,1000,,0.6714462189993355,True
kmip,20000,1000,10,1.507207513001049,True
rest,5000,1000,,3.6970121189951897,True
kmip,5000,1000,100,1.649807294976199,True
grpc,100,1000,,10.487392621987965,True
kmip,100,1000,1,12.792814715998247,True
kmip,100,1000,100,10.88692525899387,True
kmip,20000,1000,100,1.5222206590115093,True
rest,100,1000,,10.942154149000999,True
grpc,5000,1000,,0.8398309350013733,True
kmip,20000,1000,1,5.890103445999557,True
rest,20000,1000,,4.221517664991552,True
kmip,5000,1000,1,6.292937722988427,True
kmip,10000,1000,100,1.4520997059880756,True
kmip,20000,1000,1,6.002987162995851,True
grpc,1000,1000,,1.6400224919780158,True
grpc,20000,1000,,0.5319795190007426,True
kmip,20000,1000,100,1.4620883820171002,True
kmip,100,1000,1,12.590563876990927,True
kmip,1000,1000,10,2.231758349982556,True
kmip,20000,1000,10,1.506937708996702,True
kmip,100,1000,10,10.549302837025607,True
rest,1000,1000,,4.170017138007097,True
rest,5000,1000,,4.213640286005102,True
rest,10000,1000,,4.2940630780067295,True
kmip,1000,1000,100,2.5659385710023344,True
grpc,100,1000,,10.452970362995984,True
grpc,10000,1000,,0.679727748996811,True
kmip,5000,1000,10,1.6105451670009643,True
kmip,1000,1000,1,6.051677723007742,True
kmip,100,1000,100,10.717479345999891,True
kmip,5000,1000,100,1.5604845699854195,True
rest,20000,1000,,3.5093560529930983,True
kmip,5000,1000,1,6.501646463002544,True
grpc,5000,1000,,0.7447241529880557,True
rest,100,1000,,10.89791603499907,True
kmip,10000,1000,1,6.22341008100193,True
kmip,10000,1000,10,1.6214252719946671,True
